gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumServices,AvgMonthlyRevenue,ContractMonths,HighValue,Cluster,PCA1,PCA2,silhouette,TSNE1,TSNE2,MonthlyBin,LTV,TotalRevenue
Female,No,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,1,29.85,1,0,2,-2.169813737,-1.142617273,0.048565747,-12.269753,39.917183,"(25.05, 58.83]",29.85,29.85
Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2,55.57352941,12,0,1,-1.101095546,0.833186253,0.061765228,5.3933997,9.02724,"(25.05, 58.83]",683.4,1889.5
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,2,54.075,1,0,2,-1.662852061,-0.781050345,0.041490451,-23.16379,5.2481904,"(25.05, 58.83]",53.85,108.15
Male,No,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,3,40.90555556,12,0,0,-0.448067961,1.532650048,-0.050319534,-2.8550851,21.947552,"(25.05, 58.83]",507.6,1840.75
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0,75.825,1,1,2,-1.497098797,-2.998276663,0.237093969,-7.6493053,-64.71955,"(58.83, 79.1]",70.7,151.65
Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,3,102.5625,1,1,2,1.755698793,-3.117716842,0.214335498,13.546205,-57.632496,"(94.25, 118.75]",99.65,820.5
Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,2,88.60909091,1,1,2,0.998515636,-1.207288984,0.145916706,5.140451,-20.835304,"(79.1, 94.25]",89.1,1949.4
Female,No,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,1,30.19,1,0,1,-3.061563619,0.026404987,0.096114418,-12.65438,22.894697,"(25.05, 58.83]",29.75,301.9
Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,4,108.7875,1,1,0,3.152259412,-1.985602415,-0.045883851,12.824193,-51.88158,"(94.25, 118.75]",104.8,3046.05
Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,2,56.25725806,12,0,0,-0.310959191,1.537718061,-0.064702439,12.836079,-2.7308676,"(25.05, 58.83]",673.8,3487.95
Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1,45.18846154,1,0,1,-2.105287408,0.166371692,0.06178071,-16.594368,3.9275014,"(25.05, 58.83]",49.95,587.45
Male,No,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,0,20.425,24,0,1,-3.443273779,2.285829655,0.301860295,-10.012814,64.439476,"(18.249, 25.05]",454.8,326.8
Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,3,97.95,12,1,0,2.95954649,0.40246224,0.114978964,29.480633,13.574097,"(94.25, 118.75]",1204.2,5681.1
Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,4,102.7816327,1,1,0,3.251456221,-1.493536562,0.014561332,-11.748187,-26.015152,"(94.25, 118.75]",103.7,5036.3
Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,5,107.442,1,1,0,3.049276352,-2.000808621,-0.048735135,-19.752068,-43.336533,"(94.25, 118.75]",105.5,2686.05
Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,6,114.4224638,24,1,0,5.660417724,3.170855219,0.297866431,38.531887,56.053623,"(94.25, 118.75]",2718,7895.15
Female,No,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,0,19.67211538,12,0,1,-3.715960753,1.359189535,0.322747128,-64.30546,14.579326,"(18.249, 25.05]",247.8,1022.95
